id,carat,cut,color,clarity,depth,table,x,y,z
0,2.36,Ideal,I,SI2,60.8,54.0,8.68,8.57,5.24
1,2.04,Ideal,H,SI2,62.0,56.0,8.18,8.23,5.09
2,0.51,Ideal,I,SI1,61.7,54.0,5.18,5.19,3.2
3,0.3,Ideal,I,SI1,61.3,56.0,4.32,4.33,2.65
4,0.96,Fair,H,VS2,68.8,56.0,6.11,5.98,4.16
5,0.51,Ideal,G,VVS2,62.6,57.0,5.12,5.1,3.2
6,0.3,Ideal,G,VVS2,62.9,55.0,4.32,4.3,2.71
7,1.02,Ideal,G,SI1,59.2,57.0,6.52,6.56,3.87
8,0.32,Ideal,F,VS2,61.4,55.0,4.43,4.46,2.73
9,1.13,Premium,J,SI1,61.3,59.0,6.77,6.67,4.12
10,1.03,Ideal,G,VVS1,62.4,57.0,6.39,6.47,4.01
11,1.03,Good,G,SI2,63.7,60.0,6.35,6.28,4.02
12,0.27,Ideal,E,VS1,61.6,57.0,4.12,4.16,2.55
13,0.4,Ideal,E,VS2,61.9,54.0,4.74,4.73,2.93
14,0.9,Premium,H,VS1,63.0,59.0,6.13,6.1,3.85
15,1.41,Ideal,J,VS1,61.6,56.0,7.19,7.22,4.44
16,0.71,Very Good,G,SI2,62.4,54.0,5.72,5.76,3.58
17,0.5,Ideal,G,VVS2,61.2,56.0,5.13,5.1,3.13
18,0.7,Good,F,SI1,60.0,62.0,5.73,5.83,3.47
19,2.07,Premium,I,VS2,61.2,58.0,8.18,8.2,5.01
20,1.01,Ideal,H,SI1,62.1,59.0,6.38,6.43,3.98
21,1.13,Premium,G,SI1,60.9,58.0,6.75,6.72,4.1
22,1.32,Very Good,H,SI1,62.8,56.0,6.94,7.0,4.38
23,0.4,Ideal,E,VS1,61.1,57.0,4.75,4.78,2.97
24,0.57,Premium,F,SI2,60.7,59.0,5.38,5.33,3.25
25,0.37,Ideal,D,VS2,61.1,56.0,4.64,4.66,2.84
26,0.7,Good,E,VS2,60.1,62.0,5.77,5.74,3.46
27,0.28,Very Good,E,VVS2,61.4,60.0,4.18,4.22,2.58
28,0.5,Good,G,VVS2,63.4,57.0,5.06,5.1,3.22
29,1.01,Very Good,H,VS2,63.3,57.0,6.32,6.27,3.99
30,1.0,Good,H,SI1,61.2,62.0,6.32,6.36,3.88
31,0.3,Ideal,E,VVS1,61.0,56.0,4.34,4.38,2.66
32,1.23,Ideal,H,SI1,63.0,55.0,6.78,6.72,4.27
33,0.3,Ideal,F,IF,61.7,57.0,4.28,4.31,2.65
34,0.9,Fair,H,VS2,65.5,57.0,6.05,6.01,3.95
35,0.34,Premium,H,VS2,59.0,59.0,4.55,4.61,2.7
36,0.3,Very Good,H,VVS2,63.0,56.0,4.24,4.27,2.68
37,0.71,Ideal,H,SI2,62.6,56.0,5.65,5.75,3.57
