id,carat,cut,color,clarity,depth,table,x,y,z,price
0,0.3,Very Good,F,VS2,62.8,56.0,4.29,4.31,2.7,605
1,0.34,Ideal,E,SI1,62.6,55.0,4.46,4.49,2.8,565
2,0.4,Very Good,D,SI1,60.3,62.0,4.7,4.75,2.85,720
3,0.4,Premium,H,VS1,61.8,59.2,4.72,4.74,2.92,793
4,0.9,Very Good,D,SI1,61.0,63.0,6.1,6.13,3.73,4381
5,0.6,Ideal,D,SI1,61.7,56.0,5.39,5.44,3.34,2263
6,0.32,Good,E,SI1,63.1,54.0,4.37,4.41,2.77,524
7,0.3,Premium,E,VS2,60.0,60.0,4.4,4.36,2.63,844
8,0.52,Premium,G,VS2,62.4,56.0,5.19,5.16,3.23,1577
9,0.41,Very Good,E,SI1,61.8,60.0,4.74,4.78,2.94,705
10,0.31,Ideal,G,SI2,61.6,55.6,4.34,4.37,2.69,429
11,0.31,Premium,G,VS1,61.8,59.0,4.32,4.35,2.68,625
12,0.7,Fair,H,SI1,65.5,57.0,5.59,5.55,3.65,1865
13,0.75,Premium,G,SI2,61.0,58.0,5.9,5.94,3.61,2216
14,1.14,Ideal,H,SI1,61.5,55.0,6.72,6.75,4.14,7079
15,0.8,Very Good,F,VS1,63.7,56.0,5.87,5.9,3.75,3460
16,2.01,Ideal,H,SI1,62.1,56.0,8.11,8.08,5.03,14725
17,1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,8950
18,0.9,Good,J,SI1,64.0,61.0,6.0,5.96,3.83,2873
19,1.51,Very Good,E,VS2,60.1,58.0,7.51,7.57,4.53,14889
20,0.3,Ideal,H,VVS2,61.1,55.0,4.32,4.36,2.65,605
21,0.52,Ideal,E,VVS2,62.0,54.0,5.16,5.19,3.21,2230
22,0.58,Very Good,E,SI1,61.5,58.0,5.31,5.36,3.28,1424
23,0.72,Premium,F,VS2,62.7,59.0,5.71,5.75,3.59,2584
24,0.4,Very Good,D,VVS2,62.2,54.0,4.75,4.77,2.96,1263
25,1.24,Premium,F,VS1,58.0,58.0,7.16,7.02,4.11,9930
26,0.25,Very Good,E,VVS1,60.0,56.0,4.1,4.14,2.47,575
27,0.4,Premium,F,VS2,61.6,58.0,4.75,4.8,2.94,842
28,0.6,Ideal,E,SI1,61.3,56.0,5.49,5.44,3.35,1890
29,0.7,Premium,I,VVS1,61.2,59.0,5.69,5.65,3.47,2536
30,0.63,Very Good,G,SI2,63.3,59.0,5.51,5.31,3.45,1105
31,1.2,Very Good,I,SI1,62.6,57.0,6.74,6.77,4.23,5476
32,1.12,Premium,J,SI1,62.7,55.0,6.65,6.61,4.16,4064
33,0.4,Premium,G,VVS1,61.5,58.0,4.74,4.69,2.9,1200
34,0.31,Ideal,E,VS2,61.8,56.0,4.36,4.34,2.69,872
35,1.51,Very Good,H,SI2,60.2,59.0,7.33,7.43,4.44,8444
36,0.5,Premium,F,VS2,60.7,58.0,5.16,5.12,3.12,1654
37,0.27,Very Good,E,VVS2,61.2,60.0,4.16,4.17,2.55,606
38,0.79,Premium,F,SI2,62.2,57.0,5.94,5.9,3.68,2555
39,0.33,Premium,I,VVS2,61.0,58.0,4.46,4.42,2.71,743
40,0.75,Ideal,E,SI2,62.1,57.0,5.81,5.85,3.62,2278
41,1.24,Premium,H,VS1,61.2,59.0,6.91,6.94,4.24,7358
42,0.59,Very Good,G,VS1,62.5,53.0,5.46,5.35,3.38,1942
43,0.33,Very Good,E,SI2,60.0,59.0,4.47,4.49,2.69,463
44,0.3,Ideal,I,VVS2,63.0,57.0,4.27,4.24,2.68,765
45,1.54,Ideal,F,VS2,61.9,57.0,7.42,7.35,4.57,12978
46,1.06,Very Good,E,VVS2,63.4,55.0,6.46,6.51,4.11,9680
47,0.51,Very Good,E,VS1,62.8,57.1,5.07,5.1,3.2,1970
48,0.9,Very Good,F,SI2,62.4,58.0,6.15,6.19,3.85,3569
49,0.7,Very Good,D,SI1,62.6,57.0,5.67,5.7,3.56,2726
50,0.31,Premium,F,VS2,60.7,61.0,4.4,4.36,2.66,749
51,0.61,Good,E,SI1,61.3,61.0,5.4,5.44,3.32,1793
52,1.04,Premium,H,SI1,62.6,59.0,6.43,6.47,4.04,4890
53,1.54,Premium,E,SI1,59.3,60.0,7.58,7.54,4.48,11795
54,0.53,Premium,D,VS2,62.4,59.0,5.14,5.18,3.22,1783
55,1.05,Very Good,I,VS2,63.2,59.0,6.47,6.44,4.08,4986
56,1.02,Premium,D,SI1,62.5,59.0,6.4,6.34,3.98,5998
57,0.7,Good,F,VS1,63.8,58.0,5.61,5.58,3.57,2919
58,0.49,Good,F,VS1,58.9,60.5,5.17,5.21,3.05,1430
59,0.42,Premium,F,VVS2,61.7,59.0,4.78,4.82,2.96,1142
60,0.34,Very Good,H,SI1,63.3,56.0,4.46,4.45,2.82,628
61,0.77,Ideal,E,SI2,62.3,57.0,5.88,5.91,3.67,2689
62,1.01,Premium,H,SI1,61.8,59.0,6.41,6.37,3.95,4965
63,0.92,Very Good,G,SI1,63.8,57.0,6.13,6.16,3.92,3724
64,0.4,Good,E,SI1,63.7,56.0,4.66,4.69,2.98,687
65,1.01,Good,D,VS1,62.2,62.0,6.29,6.41,3.95,7303
66,0.32,Ideal,E,SI2,62.0,55.0,4.41,4.36,2.72,576
67,0.5,Premium,G,VS1,59.7,60.0,5.14,5.11,3.06,1746
68,0.72,Ideal,D,SI1,60.8,57.0,5.76,5.75,3.5,2782
69,0.34,Ideal,G,IF,61.9,57.0,4.48,4.47,2.77,1084
70,1.2,Ideal,G,VVS2,61.7,57.0,6.84,6.79,4.2,7688
71,0.42,Ideal,G,VS1,61.0,56.0,4.86,4.82,2.95,1055
72,0.72,Ideal,I,VS2,61.7,56.0,5.73,5.78,3.55,2650
73,1.0,Premium,F,SI1,62.2,58.0,6.39,6.35,3.96,4586
74,0.7,Premium,G,SI1,61.6,61.0,5.7,5.63,3.49,2285
75,1.7,Ideal,E,SI2,61.6,57.0,7.63,7.57,4.68,9139
76,1.01,Very Good,G,VS2,63.6,56.0,6.34,6.39,4.05,6449
77,0.77,Ideal,D,VS2,61.8,56.0,5.84,5.9,3.63,3721
78,0.3,Ideal,F,VVS1,61.6,57.0,4.33,4.34,2.67,1041
79,1.02,Premium,E,SI2,59.6,59.0,6.59,6.54,3.91,4478
80,1.06,Premium,G,SI1,61.5,59.0,6.57,6.53,4.03,5113
81,0.42,Premium,F,VS1,60.9,59.0,4.85,4.8,2.94,1103
