carat,cut,color,clarity,depth,table,x,y,z,price
0.3,4,2,5,62.8,56.0,4.29,4.31,2.7,605
0.34,2,1,2,62.6,55.0,4.46,4.49,2.8,565
0.4,4,0,2,60.3,62.0,4.7,4.75,2.85,720
0.4,3,4,4,61.8,59.2,4.72,4.74,2.92,793
0.9,4,0,2,61.0,63.0,6.1,6.13,3.73,4381
0.6,2,0,2,61.7,56.0,5.39,5.44,3.34,2263
0.32,1,1,2,63.1,54.0,4.37,4.41,2.77,524
0.3,3,1,5,60.0,60.0,4.4,4.36,2.63,844
0.52,3,3,5,62.4,56.0,5.19,5.16,3.23,1577
0.41,4,1,2,61.8,60.0,4.74,4.78,2.94,705
0.31,2,3,3,61.6,55.6,4.34,4.37,2.69,429
0.31,3,3,4,61.8,59.0,4.32,4.35,2.68,625
0.7,0,4,2,65.5,57.0,5.59,5.55,3.65,1865
0.75,3,3,3,61.0,58.0,5.9,5.94,3.61,2216
1.14,2,4,2,61.5,55.0,6.72,6.75,4.14,7079
0.8,4,2,4,63.7,56.0,5.87,5.9,3.75,3460
2.01,2,4,2,62.1,56.0,8.11,8.08,5.03,14725
1.21,2,4,7,61.3,56.0,6.85,6.89,4.21,8950
0.9,1,6,2,64.0,61.0,6.0,5.96,3.83,2873
1.51,4,1,5,60.1,58.0,7.51,7.57,4.53,14889
0.3,2,4,7,61.1,55.0,4.32,4.36,2.65,605
0.52,2,1,7,62.0,54.0,5.16,5.19,3.21,2230
0.58,4,1,2,61.5,58.0,5.31,5.36,3.28,1424
0.72,3,2,5,62.7,59.0,5.71,5.75,3.59,2584
0.4,4,0,7,62.2,54.0,4.75,4.77,2.96,1263
1.24,3,2,4,58.0,58.0,7.16,7.02,4.11,9930
0.25,4,1,6,60.0,56.0,4.1,4.14,2.47,575
0.4,3,2,5,61.6,58.0,4.75,4.8,2.94,842
0.6,2,1,2,61.3,56.0,5.49,5.44,3.35,1890
0.7,3,5,6,61.2,59.0,5.69,5.65,3.47,2536
0.63,4,3,3,63.3,59.0,5.51,5.31,3.45,1105
1.2,4,5,2,62.6,57.0,6.74,6.77,4.23,5476
1.12,3,6,2,62.7,55.0,6.65,6.61,4.16,4064
0.4,3,3,6,61.5,58.0,4.74,4.69,2.9,1200
0.31,2,1,5,61.8,56.0,4.36,4.34,2.69,872
1.51,4,4,3,60.2,59.0,7.33,7.43,4.44,8444
0.5,3,2,5,60.7,58.0,5.16,5.12,3.12,1654
0.27,4,1,7,61.2,60.0,4.16,4.17,2.55,606
0.79,3,2,3,62.2,57.0,5.94,5.9,3.68,2555
0.33,3,5,7,61.0,58.0,4.46,4.42,2.71,743
0.75,2,1,3,62.1,57.0,5.81,5.85,3.62,2278
1.24,3,4,4,61.2,59.0,6.91,6.94,4.24,7358
0.59,4,3,4,62.5,53.0,5.46,5.35,3.38,1942
0.33,4,1,3,60.0,59.0,4.47,4.49,2.69,463
0.3,2,5,7,63.0,57.0,4.27,4.24,2.68,765
1.54,2,2,5,61.9,57.0,7.42,7.35,4.57,12978
1.06,4,1,7,63.4,55.0,6.46,6.51,4.11,9680
0.51,4,1,4,62.8,57.1,5.07,5.1,3.2,1970
0.9,4,2,3,62.4,58.0,6.15,6.19,3.85,3569
0.7,4,0,2,62.6,57.0,5.67,5.7,3.56,2726
0.31,3,2,5,60.7,61.0,4.4,4.36,2.66,749
0.61,1,1,2,61.3,61.0,5.4,5.44,3.32,1793
1.04,3,4,2,62.6,59.0,6.43,6.47,4.04,4890
1.54,3,1,2,59.3,60.0,7.58,7.54,4.48,11795
0.53,3,0,5,62.4,59.0,5.14,5.18,3.22,1783
1.05,4,5,5,63.2,59.0,6.47,6.44,4.08,4986
1.02,3,0,2,62.5,59.0,6.4,6.34,3.98,5998
0.7,1,2,4,63.8,58.0,5.61,5.58,3.57,2919
0.49,1,2,4,58.9,60.5,5.17,5.21,3.05,1430
0.42,3,2,7,61.7,59.0,4.78,4.82,2.96,1142
0.34,4,4,2,63.3,56.0,4.46,4.45,2.82,628
0.77,2,1,3,62.3,57.0,5.88,5.91,3.67,2689
1.01,3,4,2,61.8,59.0,6.41,6.37,3.95,4965
0.92,4,3,2,63.8,57.0,6.13,6.16,3.92,3724
0.4,1,1,2,63.7,56.0,4.66,4.69,2.98,687
1.01,1,0,4,62.2,62.0,6.29,6.41,3.95,7303
0.32,2,1,3,62.0,55.0,4.41,4.36,2.72,576
0.5,3,3,4,59.7,60.0,5.14,5.11,3.06,1746
0.72,2,0,2,60.8,57.0,5.76,5.75,3.5,2782
0.34,2,3,1,61.9,57.0,4.48,4.47,2.77,1084
1.2,2,3,7,61.7,57.0,6.84,6.79,4.2,7688
0.42,2,3,4,61.0,56.0,4.86,4.82,2.95,1055
0.72,2,5,5,61.7,56.0,5.73,5.78,3.55,2650
1.0,3,2,2,62.2,58.0,6.39,6.35,3.96,4586
0.7,3,3,2,61.6,61.0,5.7,5.63,3.49,2285
1.7,2,1,3,61.6,57.0,7.63,7.57,4.68,9139
1.01,4,3,5,63.6,56.0,6.34,6.39,4.05,6449
0.77,2,0,5,61.8,56.0,5.84,5.9,3.63,3721
0.3,2,2,6,61.6,57.0,4.33,4.34,2.67,1041
1.02,3,1,3,59.6,59.0,6.59,6.54,3.91,4478
1.06,3,3,2,61.5,59.0,6.57,6.53,4.03,5113
0.42,3,2,4,60.9,59.0,4.85,4.8,2.94,1103
0.7,4,1,4,63.4,56.0,5.6,5.63,3.56,3107
1.19,4,1,2,58.0,63.0,6.9,6.97,4.02,5956
0.7,3,1,2,60.5,58.0,5.77,5.74,3.48,2777
1.53,1,2,4,60.8,61.0,7.31,7.39,4.47,15619
1.02,2,4,2,59.9,56.0,6.54,6.51,3.91,5079
0.97,3,2,3,61.9,58.0,6.31,6.35,3.92,4063
0.36,3,2,2,61.1,59.0,4.55,4.59,2.79,600
1.22,3,3,4,61.6,60.0,6.85,6.88,4.23,7850
0.32,2,0,3,62.8,57.0,4.38,4.35,2.74,612
0.3,2,0,4,60.8,56.0,4.37,4.39,2.66,885
0.57,2,4,1,62.2,56.0,5.3,5.33,3.3,2195
0.9,3,1,3,59.2,60.0,6.31,6.23,3.71,3701
0.43,1,2,2,63.6,53.0,4.79,4.83,3.06,739
2.18,2,5,2,61.2,56.0,8.39,8.51,5.17,15646
0.33,2,5,5,62.4,56.0,4.39,4.43,2.75,463
0.31,4,1,7,60.8,55.0,4.38,4.43,2.68,816
1.71,4,2,2,63.3,53.0,7.54,7.59,4.79,13152
0.42,4,1,2,59.8,61.0,4.85,4.89,2.91,722
0.3,2,2,6,62.0,58.0,4.26,4.29,2.65,814
0.32,2,2,7,60.9,56.0,4.44,4.46,2.71,800
0.3,3,2,5,62.2,60.0,4.27,4.22,2.64,776
2.13,3,3,3,60.7,60.0,8.27,8.37,5.05,16778
